packet_id,step,r,mu,nu,energy,shell_id,status,interaction_type,distance
0,0,1.2355200000000000e+15,8.6481518803910062e-01,1.4056101158989945e+15,1.0327717505563380e-01,0,0,INITIAL_RAW,0.0000000000000000e+00
0,1,1.2355200000000000e+15,8.6481518803910062e-01,1.4516744199967015e+15,1.0666174887472027e-01,0,0,DOPPLER_INIT,0.0000000000000000e+00
0,2,1.2860640000000000e+15,8.7597444538202374e-01,1.4516744199967015e+15,1.0666174887472027e-01,1,0,BOUNDARY,5.8062737999717375e+13
0,3,1.3366080000000000e+15,8.8577385048797219e-01,1.4516744199967015e+15,1.0666174887472027e-01,2,0,BOUNDARY,5.7373215627240500e+13
0,4,1.3644342092923012e+15,8.7924375908501617e-01,1.4509775170676848e+15,1.0666174887472027e-01,2,0,ESCATTERING,3.1327116592455102e+13
0,5,1.3871520000000000e+15,8.8342613272792558e-01,1.4509775170676848e+15,1.0666174887472027e-01,3,0,BOUNDARY,2.5776063663452750e+13
0,6,1.4376960000000000e+15,8.9196864129246567e-01,1.4509775170676848e+15,1.0666174887472027e-01,4,0,BOUNDARY,5.6933420845805250e+13
0,7,1.4882400000000000e+15,8.9958631073572137e-01,1.4509775170676848e+15,1.0666174887472027e-01,5,0,BOUNDARY,5.6420583377717250e+13
0,8,1.5387840000000000e+15,9.0641072012534651e-01,1.4509775170676848e+15,1.0666174887472027e-01,6,0,BOUNDARY,5.5969982468031250e+13
0,9,1.5893280000000000e+15,9.1255037558236873e-01,1.4509775170676848e+15,1.0666174887472027e-01,7,0,BOUNDARY,5.5571549766213750e+13
0,10,1.6398720000000000e+15,9.1809549804491919e-01,1.4509775170676848e+15,1.0666174887472027e-01,8,0,BOUNDARY,5.5217237246342750e+13
0,11,1.6904160000000000e+15,9.2312166830489240e-01,1.4509775170676848e+15,1.0666174887472027e-01,9,0,BOUNDARY,5.4900537479365250e+13
0,12,1.7409599999999998e+15,9.2769263646423583e-01,1.4509775170676848e+15,1.0666174887472027e-01,10,0,BOUNDARY,5.4616134329492750e+13
0,13,1.7915040000000000e+15,9.3186251151120847e-01,1.4509775170676848e+15,1.0666174887472027e-01,11,0,BOUNDARY,5.4359644443600250e+13
0,14,1.8420480000000000e+15,9.3567748502861525e-01,1.4509775170676848e+15,1.0666174887472027e-01,12,0,BOUNDARY,5.4127423119614750e+13
0,15,1.8925920000000000e+15,9.3917720064781063e-01,1.4509775170676848e+15,1.0666174887472027e-01,13,0,BOUNDARY,5.3916416586450500e+13
0,16,1.9431359999999998e+15,9.4239585122994540e-01,1.4509775170676848e+15,1.0666174887472027e-01,14,0,BOUNDARY,5.3724048247109750e+13
0,17,1.9936800000000000e+15,9.4536306473020881e-01,1.4509775170676848e+15,1.0666174887472027e-01,15,0,BOUNDARY,5.3548130115771750e+13
0,18,2.0442239999999998e+15,9.4810462457568345e-01,1.4509775170676848e+15,1.0666174887472027e-01,16,0,BOUNDARY,5.3386793177279000e+13
0,19,2.0947680000000000e+15,9.5064305936975113e-01,1.4509775170676848e+15,1.0666174887472027e-01,17,0,BOUNDARY,5.3238432121253000e+13
0,20,2.1453120000000000e+15,9.5299812861755817e-01,1.4509775170676848e+15,1.0666174887472027e-01,18,0,BOUNDARY,5.3101661110936250e+13
0,21,2.1958560000000000e+15,9.5518722512128851e-01,1.4509775170676848e+15,1.0666174887472027e-01,19,0,BOUNDARY,5.2975278105141000e+13
0,22,2.2464000000000000e+15,9.5722571014746705e-01,1.4509775170676848e+15,1.0666174887472027e-01,19,1,BOUNDARY,5.2858235869338000e+13
0,23,2.2464000000000000e+15,9.5722571014746705e-01,1.4509775170676848e+15,1.0666174887472027e-01,19,1,FINAL_EMITTED,0.0000000000000000e+00
